"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV"
11,56,290146,0,0,20151218,20190426,20200625,20201218,0,4835,30372,1,23,0,0,56,26227,0,0,0,3,175,8,0,1,56
38,59,306787,0,0,20150417,20161118,20200715,20200417,10226,5113,25305,1,31,0,0,57,30841,0,0,0,0,83,8,1,1,60
52,41,269836,0,0,20150116,20151016,20180522,20200116,31479,4497,17477,0,28,0,0,34,20425,0,0,0,3,39,9,1,1,44
50,57,302494,1,0,20150717,20160617,20211014,20200717,10082,5041,20080,1,34,1,2,55,34910,0,0,1,3,48,7,0,1,59
87,50,191162,1,0,20150515,20151016,20190515,20200515,31860,3186,11031,0,36,1,2,40,24240,1,0,1,3,22,8,0,1,59
28,60,412910,0,0,20151218,20171215,20201103,20201218,6881,6881,40159,1,37,0,0,59,28343,1,0,0,3,104,3,1,1,61
97,40,254807,6,0,20150116,20150717,20180423,20200116,29722,4246,23579,0,25,1,2,33,19962,1,0,2,3,26,7,1,1,43
15,58,243514,1,0,20160318,20160520,20220520,20210318,16232,4058,14040,0,43,1,2,54,32703,1,0,1,3,9,9,0,1,59
15,60,421310,1,0,20150619,20151120,20200810,20200619,0,7021,42333,1,33,1,2,60,30219,0,0,1,3,22,8,0,1,60
115,59,308134,0,0,20150116,20160415,20191113,20200116,0,5135,23007,1,47,0,0,59,28453,1,0,0,3,65,9,0,1,59
50,60,331452,0,0,20150717,20160617,20210618,20200717,11048,5524,30225,1,30,0,0,58,33309,1,0,0,3,48,6,0,1,61
69,14,100786,6,0,20150320,20150320,20160428,20200320,8395,2000,7557,0,59,1,2,9,7261,1,1,2,3,0,5,1,1,17
5,54,259700,1,0,20150515,20150918,20190912,20200515,0,4328,18279,1,30,1,2,54,26007,0,0,1,0,18,8,1,1,54
97,57,213359,0,0,20160318,20170915,20201130,20210318,21330,3555,15124,0,43,0,0,51,26290,1,0,0,0,78,9,0,1,60
97,51,326338,0,0,20150515,20160819,20190607,20200515,0,5438,29776,1,35,0,0,51,24683,0,0,0,0,66,6,0,1,51
126,44,187050,0,0,20150515,20160520,20181129,20200515,28053,3117,11188,0,37,0,0,35,21579,0,0,0,3,53,6,1,1,50
97,40,162701,0,0,20150515,20160415,20180717,20200515,21688,2711,12096,0,41,1,2,32,19771,0,0,0,3,48,8,1,1,45
17,59,340709,5,0,20150116,20160318,20191130,20200116,0,5678,28952,1,32,0,0,59,28453,1,0,2,0,61,9,0,1,59
63,43,202931,0,0,20151218,20180518,20190531,20201218,23674,3382,19987,0,37,0,0,36,20575,0,0,0,3,126,8,0,1,45
118,54,215243,0,0,20150717,20160415,20191230,20200717,25109,3587,18294,0,56,1,2,47,25736,0,1,0,0,39,9,0,1,56
50,40,277199,1,0,20150821,20151016,20181108,20200821,0,4619,16867,1,35,1,2,40,19479,1,0,1,0,8,9,1,1,40
