"FechaUltimoPago","CostoAdmin","FechaAdjudicación","FechaInicioC","FechaProyectadaFin","MontoVencido","Ingresos","TotalMonto","SemanasAdjud","EdadActual","Mensualidad","Ocupacion","Y"
20220602,15446,20191115,20190426,20240426,0,24258,224827,29,41,3747,38,1
20190709,25125,20160819,20150515,20200515,16588,27668,248878,66,42,4147,120,0
20220531,26170,20170721,20170421,20220421,5341,26409,320495,13,34,5341,85,1
20220601,21795,20180720,20180316,20230316,9476,28077,284291,18,52,4738,35,1
20220520,20494,20181019,20180420,20230420,5985,29974,359150,26,38,5985,63,1
20220228,25789,20171117,20170421,20220421,6345,32911,380701,30,32,6345,74,1
20220510,23193,20181019,20171117,20221117,0,31471,328715,48,58,5478,18,1
20220523,21035,20190517,20180316,20230316,4190,19871,251438,61,36,4190,74,1
20220513,17290,20190517,20181221,20231221,7650,20814,229510,21,46,3825,83,1
20210816,9245,20200619,20191220,20241220,12418,9837,106464,26,33,2000,121,0
20200427,29032,20160617,20150515,20200515,5076,26079,304595,57,43,5076,38,1
20220520,21416,20190426,20180316,20230316,4875,29149,292559,58,46,4875,117,1
20220601,21416,20181019,20180316,20230316,10318,30615,309597,31,56,5159,97,1
20220309,26170,20171020,20170421,20220421,0,28209,326336,26,20,5438,79,1
20220524,24621,20180720,20171020,20221020,0,32241,336449,39,32,5607,23,1
20220515,22814,20181019,20171117,20221117,9530,27312,285926,48,50,4765,117,1
20201002,26892,20161216,20160115,20210115,9342,15367,280311,48,39,4671,50,1
20190130,10217,20171215,20170421,20220421,17780,8838,106705,34,32,2000,50,0
20211116,27082,20171215,20161216,20211216,0,37636,328023,52,25,5467,53,1
20220602,15446,20190719,20190426,20240426,0,28233,246332,12,30,4105,51,1
20200328,17318,20180518,20170217,20220217,31230,20493,187417,65,28,3123,86,0
20180515,18390,20160318,20150515,20200515,3958,23313,237511,44,54,3958,97,1
20220430,15446,20200221,20190426,20240426,3609,18984,216586,43,28,3609,50,1
20220602,25687,20180720,20170616,20220616,5623,24365,337433,57,61,5623,97,1
20190410,14002,20171020,20161216,20211216,9632,17764,288973,44,43,4816,45,1
20211201,27472,20170818,20161216,20211216,0,24779,231278,35,53,3854,35,1
20200820,30743,20160617,20150515,20200515,12520,42625,375637,57,26,6260,45,1
20220601,20411,20190215,20180615,20230615,4937,17913,296249,35,20,4937,125,1
20220302,25687,20180615,20170519,20220519,12234,27961,367077,56,47,6117,97,1
20210302,18057,20171215,20171117,20221117,21335,23851,256020,4,36,4267,35,0
20210330,28969,20170217,20160115,20210115,33710,23718,404537,57,32,6742,65,0
20220530,13738,20200918,20190816,20240816,8238,18254,247148,57,34,4119,62,1
20180924,13943,20170421,20160520,20210520,17028,9789,113523,48,24,2000,50,0
20211204,25500,20180420,20170421,20220421,7125,32631,427512,52,39,7125,38,1
20220602,12356,20200515,20191220,20241220,6328,17452,189894,21,32,3164,97,1
20210311,11197,20190315,20190315,20240315,28332,14480,188909,0,37,3148,52,0
20220531,20032,20190426,20180615,20230615,11190,38069,335702,45,29,5595,15,1
20200302,28075,20190215,20150619,20200619,7668,19706,230076,191,63,3834,97,1
20220429,37656,20180720,20150619,20200619,5123,26283,307401,161,51,5123,6,1
20210302,29483,20161216,20160115,20210115,11766,18822,353023,48,31,5883,18,1
20190607,20502,20160415,20160115,20210115,0,15250,213685,13,60,3561,28,1
20220506,16777,20190621,20190315,20240315,5403,17418,324195,14,45,5403,17,1
20220120,28871,20190719,20160923,20210923,0,24381,327499,147,39,5458,62,1
20220601,17669,20190920,20181116,20231116,10626,26331,318835,44,36,5313,45,1
20160422,6215,20150619,20150619,20200619,9645,7926,115778,0,47,2000,58,0
20211224,20262,20190118,20180316,20230316,44658,18886,297732,44,21,4962,28,0
20220510,24143,20190517,20170915,20220915,0,28460,350483,87,41,5841,28,1
20220515,23764,20180518,20170915,20220915,0,34956,332349,35,50,5539,23,1
20190410,2665,20181116,20181116,20231116,3064,3502,45980,0,32,2000,5,0
20220511,26273,20180316,20170421,20220421,0,34498,426229,47,50,7103,97,1
20220509,23193,20181116,20171117,20221117,14162,35831,424875,52,36,7081,23,1
20180404,6139,20171117,20170421,20220421,8992,4589,67471,30,57,2000,53,0
20210504,33956,20160415,20150619,20200619,4330,15826,259848,43,24,4330,100,1
20220603,17221,20191115,20181221,20231221,0,28590,397697,47,42,6628,28,1
20220314,16398,20190215,20190118,20240118,9466,22778,283989,4,27,4733,28,1
20181001,12347,20170721,20160923,20210923,15970,9262,95821,43,35,2000,45,0
20220531,25583,20180720,20170616,20220616,13120,32966,393636,57,27,6560,97,1
20200731,25623,20161216,20160115,20210115,23356,26021,350362,48,56,5839,45,0
20171220,16019,20150717,20150619,20200619,16289,14660,139644,4,27,2327,50,0
20201210,20659,20171117,20170421,20220421,0,31013,303727,30,42,5062,97,1
20200115,17947,20170915,20161216,20211216,23954,11810,205325,39,28,3422,9,0
20220328,22814,20180921,20171117,20221117,12820,38137,384650,44,28,6410,68,1
20200716,29795,20190719,20150619,20200619,9504,27400,285124,213,27,4752,58,1
20220228,11596,20200821,20191220,20241220,6252,21674,187573,35,35,3126,97,1
20220602,15889,20191115,20190426,20240426,5912,20776,354773,29,39,5912,28,1
20220203,22433,20181019,20171117,20221117,4383,29447,262986,48,47,4383,97,1
20200918,30642,20161216,20150619,20200619,4360,19043,261646,78,28,4360,97,1
20190128,10217,20180518,20170421,20220421,9774,7509,97771,56,49,2000,117,0
20220506,23193,20181116,20171117,20221117,18926,64368,567829,52,42,9463,97,1
20210514,13349,20191018,20181221,20231221,26649,19921,177708,43,26,2961,50,0
20190430,23273,20160219,20150619,20200619,14624,41234,438762,35,42,7312,11,1
20200210,16889,20170915,20170217,20220217,27034,22331,231771,30,30,3862,58,0
20220513,21416,20181221,20180316,20230316,0,25241,355480,40,29,5924,45,1
20220425,20494,20190920,20180420,20230420,6582,31829,394935,74,42,6582,50,1
20200311,26262,20160923,20150717,20200717,5071,29166,304261,62,25,5071,63,1
20171204,3809,20170915,20170519,20220519,2468,2614,37023,17,31,2000,97,0
20220406,24621,20180615,20170915,20220915,5742,32756,344560,39,37,5742,42,1
20220112,22521,20171020,20171020,20221020,12708,31294,381294,0,27,6354,45,1
20210624,23604,20180615,20170217,20220217,42350,16513,254144,69,46,4235,97,0
20220515,15889,20191115,20190426,20240426,0,11692,167177,29,38,2786,125,1
20220511,22345,20180817,20180119,20230119,5108,27937,306506,30,29,5108,32,1
20220519,16398,20200221,20190315,20240315,7788,16496,233681,49,21,3894,32,1
20180808,10935,20161021,20161021,20211021,22347,12317,149039,0,38,2483,50,0
20190624,20502,20160219,20160115,20210115,14572,23383,218602,5,43,3643,15,0
20220603,16333,20200117,20190315,20240315,0,15264,198043,44,41,3300,32,1
20210630,25090,20170818,20161216,20211216,0,19933,287346,35,51,4789,28,1
20191121,25830,20151218,20150717,20200717,10254,23901,307678,22,41,5127,38,1
20220507,24143,20180720,20171020,20221020,4302,15502,258173,39,33,4302,23,1
20220602,24621,20190621,20170915,20220915,4218,21978,253093,92,26,4218,97,1
20181001,6952,20180518,20170915,20220915,9808,4416,73596,35,35,2000,23,0
20220514,20873,20180817,20180420,20230420,9972,20008,299166,17,39,4986,85,1
20220403,26549,20180216,20170421,20220421,38178,15156,254560,43,35,4242,126,0
