FechaUltimoPago,CostoAdmin,FechaAdjudicación,FechaInicioC,FechaProyectadaFin,MontoVencido,Ingresos,TotalMonto,SemanasAdjud,EdadActual,Mensualidad,Ocupacion,Y
20200602,29368,20160715,20150619,20200619,26704,36273,400611,56.0,53,6676,58.0,0
20180518,13134,20160318,20160318,20210318,66710,41840,400277,0.0,44,6671,58.0,0
20220602,24621,20180720,20170915,20220915,10880,31268,326459,44.0,22,5440,97.0,1
20220602,24621,20181019,20170915,20220915,4512,17083,270752,57.0,21,4512,85.0,1
20220503,24621,20181019,20170915,20220915,5150,23596,309037,57.0,44,5150,97.0,1
20210311,29999,20170120,20151218,20201218,13404,34760,402122,57.0,27,6702,47.0,1
20191202,28885,20150220,20150116,20200116,8680,38000,520836,5.0,52,8680,116.0,1
20200102,29315,20151120,20150116,20200116,9640,25218,289247,44.0,55,4820,69.0,1
20190531,22664,20160923,20150717,20200717,46926,28121,312876,62.0,39,5214,15.0,0
20201030,27406,20160819,20151218,20201218,0,29166,320033,35.0,31,5333,52.0,1
20220525,28020,20170217,20151121,20201121,0,50447,508894,64.8571428571429,43,8481,50.0,1
20190703,23024,20150821,20150821,20200821,5793,34082,347606,0.0,48,5793,97.0,1
20180611,19835,20151120,20150320,20200320,18400,18285,220855,35.0,33,3680,34.0,0
20191008,25921,20160415,20150619,20200619,34965,22492,233157,43.0,59,3885,45.0,0
20220512,29074,20160219,20151218,20201218,5885,22992,353123,9.0,56,5885,53.0,1
20210419,34073,20160115,20150515,20200515,0,21876,277837,35.0,41,4630,5.0,1
20200131,23561,20161118,20151218,20201218,22125,23686,265511,48.0,37,4425,63.0,0
20191022,28018,20160617,20150116,20200116,37510,16013,225110,74.0,27,3751,78.0,0
20200502,25282,20161021,20151218,20201218,7274,15482,218243,44.0,36,3637,28.0,1
20190117,24041,20160318,20150116,20200116,37080,20684,222508,61.0,23,3708,97.0,0
20170907,9417,20160819,20160318,20210318,10410,6238,62501,22.0,55,2000,97.0,0
20210104,28245,20160617,20151218,20201218,0,19599,300473,26.0,47,5007,126.0,1
20200602,30415,20160520,20150320,20200320,4981,24703,298864,61.0,41,4981,19.0,1
20171127,12931,20160415,20151120,20201120,24450,14441,146703,21.0,31,2445,42.0,0
20161028,5614,20160219,20151218,20201218,15510,8576,93106,9.0,41,2000,50.0,0
20180511,14671,20151218,20151218,20201218,32408,39343,486177,0.0,50,8102,97.0,0
20210609,33309,20161118,20150717,20200717,0,45333,564026,70.0,47,9400,111.0,1
20190130,23515,20151120,20150220,20200220,24486,24843,244874,39.0,38,4081,50.0,0
20180623,19835,20151016,20150417,20200417,22638,12746,226400,26.0,31,3773,97.0,0
20190201,23434,20150717,20150320,20200320,16666,37138,499999,17.0,75,8333,97.0,1
20220513,27826,20160415,20151218,20201218,4788,24699,287333,17.0,33,4788,45.0,1
20220518,23716,20150619,20150619,20200619,9656,31321,289732,0.0,47,4828,45.0,1
20200722,28742,20160923,20150717,20200717,9164,23487,274923,62.0,26,4582,125.0,1
20190102,24041,20150515,20150220,20200220,8719,37195,523180,12.0,50,8719,45.0,1
20180903,16499,20151218,20151218,20201218,18300,21965,274504,0.0,47,4575,104.0,0
20170109,11282,20150619,20150515,20200515,13680,11552,164190,5.0,63,2736,97.0,0
20200201,28693,20150821,20150320,20200320,8018,27179,240550,22.0,35,4009,47.0,1
20210615,34361,20160617,20150619,20200619,4460,23796,267613,52.0,30,4460,5.0,1
20180831,19703,20160115,20150515,20200515,23688,22548,203075,35.0,34,3384,126.0,0
20211208,32060,20160923,20160219,20210219,13062,35568,391873,31.0,48,6531,53.0,1
20200930,28542,20150918,20150918,20200918,23156,16421,198503,0.0,43,3308,58.0,0
20160401,7786,20150417,20150220,20200220,30680,14133,184114,8.0,43,3068,58.0,0
20200116,26692,20151016,20150619,20200619,44904,29297,336825,17.0,30,5613,58.0,0
20160722,4610,20151120,20151120,20201120,14496,9454,108721,0.0,30,2000,35.0,0
20191219,26788,20160415,20150619,20200619,25590,16739,255923,43.0,27,4265,3.0,0
20201113,31484,20160415,20150619,20200619,0,29166,400776,43.0,69,6679,69.0,1
20200821,21451,20170421,20161021,20211021,25333,18470,217176,26.0,24,3619,50.0,0
20191207,28885,20160415,20150116,20200116,40401,25942,269375,65.0,31,4489,52.0,0
20211210,33602,20160923,20151120,20201120,0,23844,329107,44.0,38,5485,42.0,1
20180321,18975,20160115,20150220,20200220,26631,19111,177590,47.0,29,2959,47.0,0
20210517,30815,20170120,20151120,20201120,5930,28255,355817,61.0,26,5930,74.0,1
20210614,28147,20170317,20160520,20210520,10438,28625,313187,43.0,38,5219,50.0,1
20201202,28762,20170217,20151120,20201120,0,39314,347190,65.0,57,5786,53.0,1
20190111,23515,20150220,20150220,20200220,6022,16649,180674,0.0,58,3011,69.0,1
20180629,19313,20150515,20150515,20200515,17616,13166,132150,0.0,26,2202,18.0,0
20190128,24566,20160318,20150116,20200116,36484,28804,312725,61.0,49,5212,58.0,0
20170116,10232,20160415,20150619,20200619,12480,6696,93626,43.0,49,2000,68.0,0
20191111,21672,20170217,20160219,20210219,11442,31901,343287,52.0,61,5721,63.0,1
20191206,23131,20151218,20151218,20201218,0,67488,648438,0.0,49,10807,45.0,1
20181010,21654,20151016,20150320,20200320,5610,19966,336649,30.0,45,5610,18.0,1
20180502,18328,20150918,20150619,20200619,32272,26828,242085,13.0,29,4034,126.0,0
20160706,7225,20160115,20150619,20200619,6783,6690,58182,30.0,24,2000,26.0,0
20190725,20944,20160715,20151218,20201218,5004,25706,300269,30.0,45,5004,5.0,1
20181121,19479,20160715,20150821,20200821,58610,37288,351711,47.0,31,5861,28.0,0
20170424,13781,20161021,20150220,20200220,11736,9907,88045,87.0,27,2000,50.0,0
20191001,17661,20170721,20161021,20211021,30024,15019,200187,39.0,42,3336,50.0,0
20220412,24242,20200821,20170915,20220915,21272,35373,638202,153.0,39,10636,97.0,1
20160712,4610,20160415,20151120,20201120,9130,3294,54807,21.0,33,2000,50.0,0
20200313,29646,20151218,20150220,20200220,9156,26429,274712,43.0,26,4578,114.0,1
20180202,16944,20150619,20150515,20200515,45387,18765,302613,5.0,23,5043,96.0,0
20190121,13683,20170317,20161021,20211021,11795,12502,141580,21.0,50,2359,28.0,0
20190502,23716,20150619,20150515,20200515,0,17049,232935,5.0,25,3882,50.0,1
20191106,26356,20150619,20150619,20200619,0,31665,324547,0.0,26,5409,97.0,1
20180117,14382,20160415,20150918,20200918,19376,13928,145348,30.0,52,2422,50.0,0
20200630,26227,20161216,20151120,20201120,30744,18730,307458,56.0,27,5124,28.0,0
20190201,20811,20170120,20150821,20200821,35304,29639,264785,74.0,34,4413,77.0,0
20200218,28693,20160415,20150320,20200320,10570,26136,317152,56.0,38,5285,85.0,1
20170824,15181,20161021,20150320,20200320,19593,9873,130641,83.0,47,2177,97.0,0
20190918,20799,20161216,20160219,20210219,0,23012,314768,43.0,31,5246,43.0,1
20200205,27120,20160520,20150619,20200619,39736,32661,298029,48.0,49,4967,125.0,0
20220519,29130,20170421,20161021,20211021,0,40341,404145,26.0,40,6735,15.0,1
20200228,29218,20181019,20150220,20200220,0,21748,247619,191.0,25,4126,77.0,1
20180425,19962,20150918,20150116,20200116,0,20617,392562,35.0,37,6542,58.0,1
20210504,26716,20170120,20160819,20210819,7144,42315,428693,22.0,26,7144,12.0,1
20191129,27054,20151120,20150220,20200220,4208,19053,252510,39.0,34,4208,53.0,1
20180425,14724,20170818,20151120,20201120,19458,12462,129747,91.0,19,2162,28.0,0
20170803,16231,20160115,20150116,20200116,26838,20597,178941,52.0,42,2982,97.0,0
20220103,28871,20180316,20160923,20210923,5279,28133,316751,77.0,66,5279,23.0,1
20220103,28871,20180316,20160923,20210923,51580,29278,309512,77.0,66,5158,23.0,0
20180425,18912,20160415,20150320,20200320,27312,17581,204857,56.0,18,3414,50.0,0
20201001,23824,20161118,20160819,20210819,5351,25897,321066,13.0,28,5351,126.0,1
20210419,29368,20160415,20150619,20200619,13212,43307,396402,43.0,48,6606,97.0,1
20180511,16751,20160617,20150821,20200821,22044,21661,220449,43.0,34,3674,50.0,0
20210726,27524,20170317,20160819,20210819,13782,33165,413490,30.0,55,6891,80.0,1
20210907,36089,20150717,20150515,20200515,844,1440,12705,9.0,32,2000,50.0,0
20181101,22626,20160115,20150220,20200220,13680,18911,205224,47.0,28,3420,117.0,0
20220302,30146,20170217,20160923,20210923,11188,39877,671330,21.0,46,11188,42.0,1
20200522,28939,20151016,20150619,20200619,7831,44091,469860,17.0,53,7831,6.0,1
20200901,24428,20170120,20160520,20210520,10098,18151,302961,35.0,25,5049,18.0,1
20200312,29646,20160318,20150220,20200220,5085,31217,305123,56.0,38,5085,80.0,1
20200213,29218,20160115,20150220,20200220,10060,23164,301818,47.0,82,5030,97.0,1
20220509,24242,20190215,20170915,20220915,14480,46494,434440,74.0,37,7240,50.0,1
20200204,13991,20180921,20170915,20220915,35880,30198,269140,53.0,36,4485,85.0,0
20181221,23596,20150220,20150116,20200116,0,19288,276373,5.0,37,4606,96.0,1
20190206,16174,20160715,20160520,20210520,5540,35792,332438,8.0,69,5540,97.0,1
20200715,28218,20170120,20150821,20200821,0,38350,381657,74.0,48,6360,50.0,1
20220602,24621,20180720,20170915,20220915,0,23427,305783,44.0,57,5096,24.0,1
20220502,24621,20180817,20170915,20220915,4963,23215,297820,48.0,62,4963,28.0,1
20190228,23959,20160115,20150220,20200220,34580,32115,296459,47.0,39,4940,58.0,0
20220602,24242,20180720,20170915,20220915,6189,28085,371395,44.0,36,6189,76.0,1
20210313,25390,20161021,20160819,20210819,11592,25923,347817,9.0,24,5796,50.0,1
20220517,29765,20171020,20160923,20210923,11436,33067,343109,56.0,42,5718,23.0,1
20220531,24143,20180119,20171020,20221020,13376,31946,401312,13.0,52,6688,76.0,1
20220506,20954,20191115,20180420,20230420,5282,34005,316979,82.0,30,5282,112.0,1
20200504,11536,20180817,20180420,20230420,21750,14079,217527,17.0,24,3625,97.0,0
20180222,15367,20160923,20150821,20200821,22590,10383,150630,57.0,31,2510,97.0,0
20220602,26549,20171117,20170519,20220519,0,42344,383193,26.0,28,6386,110.0,1
20210909,28326,20171020,20160819,20210819,0,37556,513341,61.0,49,8555,76.0,1
20200207,19896,20180420,20160819,20210819,26192,72330,785810,87.0,36,13096,97.0,1
20220531,26374,20180316,20170217,20220217,13638,39983,409162,56.0,33,6819,28.0,1
20190102,22990,20160318,20150320,20200320,9627,34226,577659,52.0,43,9627,58.0,1
20210722,27524,20170721,20160819,20210819,11738,31576,352153,48.0,57,5869,10.0,1
20220420,29005,20171117,20161118,20211118,11454,26766,343666,52.0,44,5727,50.0,1
20220103,26374,20171117,20170217,20220217,0,43285,390390,39.0,27,6506,117.0,1
20220602,17669,20190621,20181116,20231116,9174,19816,275247,31.0,28,4587,126.0,1
20220516,17290,20190517,20181116,20231116,8980,26305,269458,26.0,25,4490,18.0,1
20220412,24242,20180720,20170915,20220915,8159,49235,489588,44.0,24,8159,7.0,1
20201228,21635,20180720,20170120,20220120,88497,60711,590026,78.0,36,9833,37.0,0
20191023,26968,20170317,20150320,20200320,0,25112,362199,104.0,52,6036,28.0,1
20201029,32110,20160219,20150320,20200320,9249,40265,554985,48.0,47,9249,97.0,1
20200724,26653,20170519,20151120,20201120,6862,30852,411734,78.0,41,6862,0.0,1
20190801,11387,20180316,20170915,20220915,10235,10321,122834,26.0,52,2047,5.0,0
20211213,28993,20170915,20160819,20210819,0,26565,285492,56.0,34,4758,1.0,1
20220602,27519,20180518,20170217,20220217,9716,16592,291494,65.0,50,4858,62.0,1
20190305,2223,20181116,20181116,20231116,11240,6690,84350,0.0,29,2000,84.0,0
20211130,25596,20171215,20170217,20220217,94088,58590,705696,43.0,30,11761,105.0,0
20190606,10504,20180817,20170915,20220915,19850,9488,119111,48.0,26,2000,76.0,0
20220510,24242,20180518,20170915,20220915,0,31150,358096,35.0,23,5968,23.0,1
20210623,26610,20170721,20160819,20210819,11146,36054,334405,48.0,61,5573,97.0,1
20190911,11828,20180518,20170915,20220915,20840,12326,156318,35.0,25,2605,97.0,0
20171129,7802,20160819,20160819,20210819,0,23162,285217,0.0,46,4753,5.0,1
20220503,24621,20180817,20170915,20220915,10908,26556,327290,48.0,27,5454,9.0,1
20220511,26170,20171215,20170421,20220421,5307,28800,318447,34.0,57,5307,47.0,1
20210531,26205,20170818,20160819,20210819,47010,23852,282084,52.0,36,4701,50.0,0
20181221,9773,20171117,20170421,20220421,13302,10206,133079,30.0,26,2217,58.0,0
20220513,24242,20180615,20170915,20220915,12238,21712,367150,39.0,33,6119,44.0,1
20160118,5731,20160115,20150320,20200320,3488,3193,52327,43.0,54,2000,42.0,0
20220131,26374,20180216,20170217,20220217,32522,20181,278818,52.0,34,4646,85.0,0
20200216,19386,20170519,20160923,20210923,14320,15896,214814,34.0,45,3580,58.0,0
20210119,32318,20170915,20150619,20200619,9842,31494,295285,117.0,34,4921,18.0,1
20220603,27519,20171020,20170217,20220217,0,21427,285657,35.0,36,4760,50.0,1
20220520,23666,20180615,20171020,20221020,10912,22568,327389,34.0,35,5456,23.0,1
20220531,17290,20190118,20181116,20231116,0,13769,228651,9.0,41,3810,97.0,1
20220506,18120,20200221,20181116,20231116,16886,35600,506592,66.0,29,8443,7.0,1
20220530,23383,20171020,20171020,20221020,22145,17461,265745,0.0,31,4429,5.0,0
20220516,20494,20180921,20180420,20230420,4377,14486,262620,22.0,26,4377,104.0,1
20180322,14263,20151120,20151120,20201120,16436,21404,246563,0.0,36,4109,58.0,0
20220228,23383,20191018,20171020,20221020,49700,30519,426026,104.0,32,7100,42.0,0
20180503,19899,20150918,20150320,20200320,15548,16825,233245,26.0,41,3887,50.0,0
20170809,10993,20170317,20151120,20201120,11683,9056,100163,69.0,36,2000,97.0,0
20210513,13349,20190215,20181116,20231116,75710,47445,454307,13.0,40,7571,85.0,0
20220516,17290,20190816,20181116,20231116,0,19210,272406,39.0,45,4540,50.0,1
20220601,25204,20180720,20170616,20220616,0,19661,332814,57.0,39,5546,126.0,1
20201111,23824,20170217,20160819,20210819,6185,33591,371132,26.0,25,6185,126.0,1
20201003,27922,20181019,20151120,20201120,11212,23423,336387,152.0,50,5606,53.0,1
20220407,26549,20180119,20170519,20220519,11095,62929,665703,35.0,52,11095,45.0,1
20190411,14002,20170818,20161216,20211216,20346,21360,203475,35.0,34,3391,50.0,0
20200110,6611,20190621,20181116,20231116,28370,19256,170256,31.0,28,2837,97.0,0
20200117,19467,20171020,20160819,20210819,15968,40935,479068,61.0,32,7984,23.0,1
20220601,17669,20181116,20181116,20231116,0,33287,382628,0.0,61,6377,115.0,1
20220603,24621,20180921,20170915,20220915,11946,23190,358428,53.0,46,5973,58.0,1
20220509,24242,20180615,20170915,20220915,12204,41755,366155,39.0,32,6102,28.0,1
20220527,17290,20190118,20181116,20231116,9360,21508,280810,9.0,33,4680,117.0,1
20210105,11711,20190719,20181116,20231116,21618,8357,144136,35.0,30,2402,97.0,0
20210701,27013,20170519,20160819,20210819,0,28560,366591,39.0,23,6109,85.0,1
20220518,17290,20190920,20181116,20231116,11488,66590,689327,44.0,50,11488,42.0,1
20220601,17669,20190517,20181116,20231116,0,23299,351395,26.0,52,5856,106.0,1
20220217,25306,20180921,20170616,20220616,12592,25893,377781,66.0,27,6296,15.0,1
20211227,23088,20180720,20170915,20220915,20468,25995,307070,44.0,22,5117,97.0,0
20220502,17669,20190315,20181116,20231116,9744,37280,584651,17.0,40,9744,97.0,1
20191226,28885,20160923,20150116,20200116,8750,19389,262527,88.0,40,4375,15.0,1
20210318,19485,20171215,20170915,20220915,28014,18194,280193,13.0,29,4669,97.0,0
20210318,12533,20190621,20181116,20231116,29862,22573,199138,31.0,49,3318,77.0,0
20211214,23088,20181019,20170915,20220915,6329,20393,379795,57.0,37,6329,126.0,1
20220510,17669,20181116,20181116,20231116,11538,38227,346187,0.0,49,5769,97.0,1
20220601,17741,20181221,20181116,20231116,0,28687,315657,5.0,31,5260,50.0,1
20210930,27814,20170616,20160819,20210819,50643,26298,337637,43.0,45,5627,97.0,0
